patients,evening_weekend,would_rec,n_asked,practice_id
,,,,153397
11802,YES,NA,NA,36890
8232,YES,NA,NA,36972
5345,YES,90%,72,35230
5497,YES,93%,46,41289
4108,YES,95%,22,39634
3086,YES,89%,85,44827
29594,YES,NA,NA,41432
25965,YES,NA,NA,41566
25965,YES,NA,NA,41075
10840,YES,NA,NA,35909
10998,NA,NA,NA,151994
10679,YES,87%,171,42564
4907,YES,NA,NA,36824
5433,YES,88%,17,44226
24690,YES,NA,NA,37861
4718,YES,NA,NA,39882
7122,YES,91%,294,43368
24013,YES,NA,NA,42553
24013,YES,NA,NA,125503
18266,YES,NA,NA,39966
14615,YES,97%,107,36816
14615,YES,97%,107,42096
14615,YES,97%,107,42945
7309,YES,91%,56,42369
9708,NA,85%,177,38814
7225,YES,89%,37,41685
4768,YES,90%,10,35874
10022,YES,100%,16,41350
21355,YES,89%,493,36962
5998,YES,100%,6,41249
7786,YES,NA,NA,38467
12460,YES,NA,NA,37607
5940,YES,NA,NA,36121
2846,YES,100%,5,41816
13324,YES,NA,NA,44402
17819,YES,NA,NA,44405
10744,YES,NA,NA,41085
7519,YES,NA,NA,39577
10023,YES,NA,NA,36950
17238,YES,NA,NA,42552
7044,YES,97%,184,44304
8583,YES,NA,NA,43551
12087,YES,NA,NA,41256
76789,YES,84%,1734,44612
76789,YES,84%,1734,37121
2867,YES,NA,NA,40827
7157,YES,NA,NA,44545
7560,YES,NA,NA,38166
3549,YES,100%,22,36735
47759,YES,93%,14,41257
14385,YES,95%,355,41353
8998,YES,NA,NA,43404
4200,YES,NA,NA,119982
8709,YES,NA,NA,36948
2,NA,NA,NA,152139
11233,YES,NA,NA,39816
32742,YES,96%,279,35994
8605,YES,NA,NA,35387
4635,YES,94%,63,37420
5733,YES,95%,188,44010
5574,YES,NA,NA,40842
3742,YES,NA,NA,38255
12702,YES,91%,70,44894
24308,YES,70%,79,40776
NA,YES,NA,NA,129144
14005,YES,100%,12,37926
2238,YES,NA,NA,35303
5471,YES,80%,5,40318
5820,YES,80%,10,38683
5902,YES,NA,NA,43284
13888,YES,94%,449,39721
5882,YES,90%,160,38223
12891,YES,NA,NA,35378
7175,YES,NA,NA,40800
3539,YES,89%,94,44317
3798,YES,94%,177,40193
5327,YES,NA,NA,42198
6386,YES,100%,18,40508
1423,YES,NA,NA,41394
19438,YES,93%,15,44853
14258,YES,93%,381,39775
14258,YES,93%,381,40085
11194,YES,91%,11,38759
10688,YES,84%,64,44006
5307,YES,NA,NA,45021
4827,YES,NA,NA,42528
23127,NA,86%,50,151903
12525,YES,NA,NA,35751
20843,YES,94%,112,36551
12976,YES,95%,101,46141
3731,YES,100%,22,37484
25539,NA,NA,NA,153094
25539,YES,NA,NA,44346
25539,YES,NA,NA,37886
9551,YES,NA,NA,39925
17840,YES,92%,663,40097
17840,YES,92%,663,37304
3471,YES,93%,15,38143
9455,YES,98%,58,36043
9902,YES,91%,47,41100
5343,YES,NA,NA,37526
11568,YES,87%,396,44181
10819,YES,NA,NA,37782
7193,YES,85%,13,42933
11372,YES,89%,376,43661
7534,YES,94%,17,44308
11108,YES,92%,24,38717
16098,YES,94%,464,45148
12737,YES,95%,374,127863
7803,YES,100%,31,42187
4139,YES,NA,NA,43316
10653,YES,100%,8,36061
14696,YES,89%,395,42423
2732,YES,NA,NA,42988
13959,YES,90%,457,43749
996,YES,NA,NA,37855
7746,YES,NA,NA,43473
11872,YES,NA,NA,42252
2528,YES,NA,NA,44044
6794,YES,95%,507,38181
19381,YES,85%,65,44449
8436,YES,83%,6,35888
12264,YES,NA,NA,41684
11356,YES,98%,60,41985
11945,YES,NA,NA,37341
3378,YES,NA,NA,43221
17294,YES,94%,123,45186
8738,YES,NA,NA,38942
27653,YES,68%,41,42555
27653,YES,68%,41,44706
5999,YES,NA,NA,38134
7156,YES,96%,511,42220
7916,YES,NA,NA,40848
13184,YES,89%,296,43772
5332,YES,94%,232,42415
29410,YES,NA,NA,41805
10800,YES,83%,6,40754
8601,YES,74%,27,42288
13638,YES,NA,NA,35521
13391,YES,NA,NA,39099
13391,YES,NA,NA,107891
22230,YES,NA,NA,43010
4744,YES,NA,NA,41822
12595,YES,NA,NA,36475
11303,YES,94%,18,39430
11925,YES,50%,6,36682
2977,YES,NA,NA,36283
5254,YES,100%,5,44153
11742,YES,93%,172,42859
11742,YES,93%,172,35481
7653,YES,88%,48,39434
5983,YES,96%,277,40008
9289,YES,85%,47,43188
3204,YES,NA,NA,40119
3204,YES,NA,NA,44322
53749,YES,88%,196,138743
53749,NA,88%,196,152886
53749,YES,88%,196,38748
53749,NA,88%,196,152884
53749,NA,88%,196,152885
6454,YES,NA,NA,39329
24560,YES,71%,119,41859
17235,YES,71%,21,35713
8,YES,NA,NA,138751
12126,YES,NA,NA,42062
14497,YES,NA,NA,129965
4102,YES,95%,94,37653
43028,YES,NA,NA,107019
22113,YES,NA,NA,44919
22113,YES,NA,NA,42739
22113,YES,NA,NA,41995
17235,YES,71%,21,37108
17235,YES,71%,21,36851
11069,YES,NA,NA,39416
4765,YES,NA,NA,45078
10824,YES,97%,78,38448
11163,YES,NA,NA,37468
19803,YES,NA,NA,42411
3727,YES,100%,8,36908
14025,YES,96%,373,39225
4659,YES,88%,119,44883
2269,YES,63%,19,39451
11899,YES,89%,84,41533
11561,YES,95%,394,35705
3655,YES,NA,NA,39883
6886,YES,98%,99,43048
6870,YES,NA,NA,43666
6870,YES,NA,NA,108011
7055,YES,94%,31,37728
12764,YES,NA,NA,40505
12978,YES,NA,NA,39618
9442,YES,94%,87,38522
19854,YES,80%,107,39397
7567,YES,80%,10,35712
10624,YES,NA,NA,43231
6944,YES,93%,43,37428
5639,YES,NA,NA,43708
13626,YES,96%,48,40221
13708,YES,78%,340,41710
29594,YES,NA,NA,37445
12049,YES,NA,NA,37947
12292,YES,86%,95,42468
12779,YES,NA,NA,37514
3514,YES,NA,NA,43479
20146,YES,NA,NA,44163
30831,NA,88%,109,37764
4492,YES,NA,NA,42459
4492,YES,NA,NA,37597
12632,YES,100%,18,44649
8043,YES,85%,95,37264
7379,YES,NA,NA,35956
24073,YES,90%,141,84726
1840,YES,100%,13,37130
5981,YES,80%,25,42763
16003,YES,NA,NA,35515
16003,YES,NA,NA,40491
16003,YES,NA,NA,39149
6977,YES,90%,126,46544
2750,YES,NA,NA,40512
4249,YES,NA,NA,40597
8699,YES,75%,8,43844
19141,YES,91%,55,38591
6240,YES,93%,43,35171
8888,YES,88%,34,38210
4198,YES,NA,NA,41230
11210,YES,94%,83,44482
12668,YES,NA,NA,38741
2339,YES,NA,NA,39287
3652,YES,NA,NA,35872
7324,YES,NA,NA,36104
7278,YES,92%,206,43042
7547,YES,NA,NA,38284
6813,YES,NA,NA,44184
10063,NA,NA,NA,151937
11440,YES,NA,NA,101222
4490,YES,100%,11,39671
14540,YES,98%,100,38121
9786,YES,100%,12,37475
29703,NA,25%,8,40639
7984,YES,NA,NA,41522
10304,YES,NA,NA,35807
14554,YES,NA,NA,39256
7940,YES,94%,33,43682
12021,YES,88%,50,39752
10737,YES,NA,NA,40168
3380,YES,NA,NA,43423
5641,YES,86%,21,44515
6819,YES,78%,55,37068
6825,YES,89%,194,43128
8460,YES,NA,NA,40548
7662,YES,79%,152,42732
4335,YES,100%,19,40207
18723,YES,90%,512,38619
14909,YES,95%,645,36011
16497,YES,85%,209,37031
5985,YES,NA,NA,44513
6179,YES,NA,NA,42650
23600,YES,NA,NA,119280
9722,YES,90%,200,38604
8859,YES,NA,NA,41881
7047,YES,NA,NA,41511
7047,YES,NA,NA,39129
3065,YES,NA,NA,38947
11406,YES,93%,354,45076
11406,YES,93%,354,45095
3905,YES,82%,34,38501
17630,YES,79%,14,39638
7855,YES,NA,NA,41428
4139,YES,NA,NA,37369
7103,YES,NA,NA,43059
7505,YES,NA,NA,43969
10148,YES,NA,NA,44931
8026,YES,NA,NA,44029
3644,YES,75%,12,36327
14405,YES,NA,NA,45831
3633,YES,96%,167,40651
4929,YES,NA,NA,39792
8980,YES,83%,6,40444
13282,YES,NA,NA,38520
13282,YES,NA,NA,42604
11240,YES,75%,102,38357
16465,YES,NA,NA,37702
11289,YES,NA,NA,39496
9731,YES,93%,307,36452
4539,YES,91%,112,45096
8097,YES,85%,138,44248
13586,YES,NA,NA,39652
4657,YES,NA,NA,43776
13326,YES,100%,8,42133
4817,NA,NA,NA,151833
4091,YES,100%,24,43863
19397,YES,74%,23,40116
8240,YES,NA,NA,35217
1935,YES,NA,NA,41909
11392,YES,NA,NA,43803
14898,YES,88%,366,43830
5293,YES,89%,9,42090
7861,YES,91%,64,38154
21178,YES,NA,NA,41754
16775,YES,NA,NA,41700
7306,YES,NA,NA,45092
15550,YES,94%,646,38858
13836,YES,NA,NA,35391
13836,YES,NA,NA,41119
6557,YES,NA,NA,35462
9607,YES,79%,43,36175
12579,YES,NA,NA,37558
17976,YES,64%,28,42834
17976,YES,64%,28,46143
8115,YES,NA,NA,42086
8115,YES,NA,NA,131680
3646,YES,88%,8,44888
13129,YES,74%,35,39228
13129,NA,74%,35,151881
3531,YES,NA,NA,43206
3556,YES,NA,NA,40311
15022,YES,NA,NA,40790
8275,NA,96%,56,151865
9879,YES,NA,NA,38180
11052,YES,93%,123,36322
15321,YES,94%,508,42306
12471,YES,100%,7,38403
9752,YES,NA,NA,43656
1558,YES,94%,52,43713
8160,YES,NA,NA,35899
6803,YES,NA,NA,41927
3737,YES,NA,NA,43452
9399,YES,NA,NA,36273
9399,YES,NA,NA,38338
4805,YES,NA,NA,41264
13316,YES,NA,NA,44438
3377,YES,NA,NA,35691
3379,YES,100%,30,36991
3738,YES,NA,NA,40069
12329,YES,80%,5,37367
21480,YES,78%,9,44688
5847,YES,88%,95,44846
2226,YES,NA,NA,41840
6436,YES,92%,115,41933
7773,YES,93%,196,41067
11724,YES,93%,220,40805
24824,YES,92%,103,44822
13095,YES,92%,13,35882
10813,YES,96%,267,38259
14563,YES,90%,48,35549
3200,YES,71%,7,35331
7689,YES,NA,NA,35707
5750,YES,73%,15,42255
8918,YES,NA,NA,43242
11233,YES,94%,96,43800
9741,YES,94%,406,44294
17100,YES,NA,NA,42342
8274,YES,86%,42,42149
11682,YES,97%,280,36356
13013,YES,94%,50,44694
6791,YES,92%,71,45193
7930,YES,NA,NA,40897
5187,YES,NA,NA,37194
3478,YES,100%,7,44451
11894,YES,67%,6,36563
10093,NA,NA,NA,44365
7956,YES,83%,23,44605
3077,YES,94%,97,36017
15939,YES,NA,NA,38736
23600,YES,NA,NA,97459
13340,YES,89%,9,36862
5419,YES,96%,166,35446
8722,YES,NA,NA,42147
20899,YES,93%,650,43508
16250,YES,100%,5,38818
13135,YES,97%,68,42751
4678,YES,86%,79,41651
8700,YES,NA,NA,35186
27486,YES,NA,NA,42285
14102,YES,NA,NA,37569
11894,YES,67%,6,36191
4328,YES,NA,NA,36232
10147,YES,NA,NA,40633
9288,YES,97%,58,35164
23436,YES,91%,146,37319
7879,YES,100%,23,42978
10679,YES,NA,NA,40565
8393,YES,93%,107,43050
10052,YES,NA,NA,41127
10052,YES,NA,NA,39622
3417,YES,98%,45,41675
6516,YES,NA,NA,41397
13346,YES,89%,53,38702
12655,YES,91%,68,35623
7577,YES,NA,NA,44943
13267,YES,NA,NA,44017
2582,YES,NA,NA,42545
12691,YES,96%,50,39658
2949,YES,NA,NA,44106
12881,YES,NA,NA,42765
3359,YES,NA,NA,44871
13862,YES,100%,13,36946
11171,NA,88%,41,35273
11171,YES,88%,41,39931
17650,YES,NA,NA,35158
2576,YES,NA,NA,36109
20492,YES,NA,NA,40405
14557,YES,NA,NA,37940
8786,NA,NA,NA,38420
21349,YES,NA,NA,41833
5429,YES,84%,164,39649
7053,YES,97%,415,36302
15530,YES,100%,13,36841
1799,YES,100%,6,36361
55112,NA,NA,NA,153423
7917,YES,NA,NA,35812
4877,YES,NA,NA,42726
7937,YES,92%,26,38831
4269,YES,90%,218,38354
10940,YES,83%,18,36493
3923,YES,NA,NA,38241
2553,YES,NA,NA,43446
15923,NA,NA,NA,151941
10467,YES,NA,NA,38847
27489,YES,NA,NA,43721
2105,YES,NA,NA,39456
3244,YES,100%,26,42654
5819,YES,84%,205,39313
9917,YES,NA,NA,41635
47759,NA,93%,14,152197
16846,YES,NA,NA,35160
8327,YES,95%,239,36666
11473,YES,NA,NA,39565
9036,YES,NA,NA,36212
6613,YES,NA,NA,40906
10692,YES,NA,NA,44347
5970,YES,67%,12,37207
5959,YES,66%,35,39812
12918,YES,77%,646,37170
12918,YES,77%,646,45881
12918,YES,77%,646,45882
12918,YES,77%,646,45883
5798,YES,91%,129,45035
6436,YES,NA,NA,39705
4765,YES,NA,NA,39238
2194,YES,NA,NA,37359
5852,YES,90%,49,45264
7569,YES,97%,144,90256
5663,YES,97%,39,42785
6077,YES,NA,NA,38496
7956,YES,83%,23,46481
3571,YES,91%,11,38205
14688,YES,NA,NA,43780
2612,YES,97%,78,37451
2332,YES,96%,50,37928
14124,YES,94%,398,38532
26418,YES,NA,NA,118729
44157,YES,NA,NA,37543
9215,YES,NA,NA,39037
9188,YES,NA,NA,37122
11272,YES,NA,NA,43014
15624,YES,NA,NA,43884
5828,YES,100%,11,35892
4850,YES,NA,NA,37995
12967,YES,97%,125,40718
3019,YES,NA,NA,35435
10204,YES,96%,209,36444
4188,YES,90%,21,38325
10585,YES,NA,NA,43021
5148,YES,72%,58,41768
19972,YES,78%,50,37290
18045,YES,NA,NA,37892
6129,YES,NA,NA,36472
11681,YES,91%,113,44404
13881,YES,NA,NA,43689
12230,YES,98%,88,35919
2163,YES,97%,36,41721
14532,YES,80%,5,36491
5437,YES,100%,19,43980
4094,YES,100%,24,43914
11890,YES,NA,NA,41704
7823,YES,95%,195,43906
4643,YES,NA,NA,36538
14794,YES,NA,NA,41633
10661,YES,92%,358,38854
7230,YES,NA,NA,38671
17318,YES,90%,31,43135
13993,YES,95%,685,44967
NA,YES,NA,NA,102267
5479,YES,NA,NA,41066
20717,YES,73%,298,40537
30835,NA,87%,891,152122
2081,YES,NA,NA,42902
9830,YES,94%,16,41799
8371,YES,91%,1627,38966
35658,NA,90%,1065,152141
17762,YES,83%,115,44635
15658,YES,78%,9,44817
8827,YES,NA,NA,40336
3409,YES,NA,NA,38884
2856,YES,NA,NA,44275
5619,YES,92%,117,40354
5873,YES,100%,15,40467
5296,YES,88%,50,40554
3386,YES,93%,128,46205
11759,YES,92%,275,43064
7154,YES,NA,NA,37114
13888,NA,NA,NA,152085
19107,YES,90%,676,37564
3561,YES,92%,37,39477
14512,YES,NA,NA,40498
14512,YES,NA,NA,41864
12633,YES,100%,8,41388
3491,YES,94%,227,39001
5969,YES,83%,240,39118
2888,YES,NA,NA,43781
16048,YES,87%,137,37555
13165,YES,NA,NA,39503
4830,YES,NA,NA,44909
5187,YES,NA,NA,101723
16120,YES,NA,NA,44844
16120,YES,NA,NA,43855
16120,YES,NA,NA,39171
10612,YES,NA,NA,43180
5372,YES,NA,NA,41758
2840,YES,98%,179,40425
6863,YES,NA,NA,43824
26357,YES,87%,987,36432
5444,YES,NA,NA,39764
7673,YES,NA,NA,41049
5346,YES,96%,23,39187
13437,YES,NA,NA,45071
17307,YES,95%,511,42027
5349,YES,NA,NA,44797
19710,YES,61%,23,41976
5611,YES,NA,NA,40106
9590,YES,NA,NA,39740
13749,YES,NA,NA,41007
22459,YES,NA,NA,36470
7923,YES,NA,NA,36045
3543,YES,NA,NA,41446
8010,YES,100%,7,44935
4477,YES,88%,41,40124
7011,YES,NA,NA,37991
3060,YES,NA,NA,41056
5538,YES,95%,371,40203
5538,YES,95%,371,36951
2893,YES,NA,NA,35970
9127,YES,NA,NA,43306
4146,YES,NA,NA,39770
8951,YES,90%,227,42526
4649,YES,93%,14,44601
18031,YES,NA,NA,38261
84819,NA,NA,NA,152124
7750,YES,83%,6,41916
7750,YES,83%,6,45151
10665,YES,NA,NA,40767
6090,YES,NA,NA,37613
4109,YES,75%,24,43892
4123,YES,NA,NA,36126
7719,YES,NA,NA,41974
15936,YES,91%,479,43131
8262,YES,NA,NA,43970
9239,YES,93%,201,37013
10325,YES,NA,NA,44435
14594,YES,94%,213,40469
4966,YES,86%,14,41769
10622,YES,84%,25,38303
7156,YES,NA,NA,36406
12127,YES,93%,74,38408
10698,YES,NA,NA,40408
8325,YES,NA,NA,40877
9234,YES,98%,53,42119
6420,YES,NA,NA,42979
8686,YES,NA,NA,39047
9776,YES,98%,89,37011
37489,YES,88%,242,44223
10678,YES,95%,440,39894
8941,YES,NA,NA,40229
8646,YES,NA,NA,43747
6317,YES,NA,NA,37187
30301,YES,90%,10,42456
4423,YES,78%,55,39941
16351,YES,93%,452,37851
7674,YES,NA,NA,44176
14293,NA,NA,NA,43660
3013,YES,NA,NA,104576
9333,YES,94%,131,43502
12856,YES,91%,90,38193
10570,YES,100%,10,45020
15091,YES,80%,5,41608
9450,YES,97%,194,36477
15528,YES,NA,NA,42447
5166,YES,85%,41,38051
9093,YES,96%,68,35557
5613,YES,NA,NA,44776
10179,YES,87%,78,41279
5759,YES,NA,NA,95379
13565,YES,77%,132,44173
11227,YES,NA,NA,38848
3908,YES,NA,NA,39991
5612,YES,98%,131,41494
6472,YES,NA,NA,40283
6844,YES,NA,NA,36282
9517,YES,100%,11,36460
4241,YES,96%,142,35350
13087,YES,NA,NA,43179
4050,YES,100%,11,41715
11163,YES,NA,NA,44833
4675,YES,100%,9,44717
63880,YES,NA,NA,117199
11107,YES,NA,NA,37098
7309,YES,94%,140,36112
16618,YES,NA,NA,132700
12499,YES,NA,NA,39372
12779,YES,NA,NA,39969
4915,YES,NA,NA,39750
2571,YES,NA,NA,39961
13921,YES,NA,NA,39076
4862,YES,NA,NA,42103
10301,YES,92%,262,42215
5831,YES,94%,193,37513
2636,YES,NA,NA,38402
5686,YES,NA,NA,44657
17149,YES,99%,335,41419
32742,YES,96%,279,36823
17009,YES,NA,NA,41907
9536,YES,NA,NA,41215
9808,YES,NA,NA,36392
5525,YES,NA,NA,44124
1229,NA,NA,NA,151134
10154,YES,90%,158,37035
NA,YES,NA,NA,137539
15508,YES,NA,NA,37448
3609,YES,NA,NA,38992
2436,YES,NA,NA,45188
18504,YES,NA,NA,43584
15120,YES,NA,NA,44295
4672,YES,NA,NA,42973
5594,YES,NA,NA,42135
12122,YES,67%,9,35879
4241,YES,NA,NA,43268
14497,YES,89%,433,44969
6456,YES,NA,NA,36190
10252,YES,NA,NA,41476
5244,YES,78%,40,40992
2378,YES,73%,55,38059
3571,YES,NA,NA,39017
8981,YES,94%,87,39278
18361,YES,91%,452,42702
11087,YES,NA,NA,37619
3799,YES,93%,145,38883
14642,YES,100%,11,44421
6078,YES,92%,130,40230
7397,YES,NA,NA,44144
8772,YES,92%,191,39583
9511,YES,NA,NA,37948
5315,YES,90%,10,109779
27403,YES,90%,41,36138
17536,YES,NA,NA,37123
3981,YES,99%,79,37344
8519,YES,92%,289,36868
7875,YES,NA,NA,44965
3205,YES,60%,5,42575
1781,YES,88%,51,44468
20275,YES,95%,19,42567
11950,YES,NA,NA,41908
9881,YES,97%,61,35517
4683,YES,NA,NA,44733
6718,YES,83%,6,42145
6718,YES,83%,6,35903
